Type,Name,Course
Modules,Survey,Como começar uma Pequena Empresa
Modules,Resources,Como começar uma Pequena Empresa
Introduction,Story,Empreendedorismo Social
Modules,Bussiness Concept,Empreendedorismo Social
Modules,Technology Skills,Empreendedorismo Social
Modules,Survey,Empreendedorismo Social
Modules,Resources,Empreendedorismo Social
Introduction,Story,Mecanismos de Crescimento
Modules,Bussiness Concept,Mecanismos de Crescimento
Modules,Technology Skills,Mecanismos de Crescimento
Modules,Survey,Mecanismos de Crescimento
Modules,Resources,Mecanismos de Crescimento
Introduction,Story,Impressão 3D
Modules,Bussiness Concept,Impressão 3D
Modules,Technology Skills,Impressão 3D
Modules,Survey,Impressão 3D
Modules,Resources,Impressão 3D
Introduction,Story,Mentalidade de Sucesso
Modules,Bussiness Concept,Mentalidade de Sucesso
Modules,Technology Skills,Mentalidade de Sucesso
Modules,Survey,Mentalidade de Sucesso
Modules,Resources,Mentalidade de Sucesso
Introduction,Story,Design Thinking
Modules,Bussiness Concept,Design Thinking
Modules,Technology Skills,Design Thinking
Modules,Survey,Design Thinking
Modules,Resources,Design Thinking
Introduction,Story,Planejamento Estratégico
Modules,Bussiness Concept,Planejamento Estratégico
Modules,Technology Skills,Planejamento Estratégico
Modules,Survey,Planejamento Estratégico
Modules,Resources,Planejamento Estratégico
Introduction,Story,Fluxo de Caixa
Modules,Bussiness Concept,Fluxo de Caixa
Modules,Technology Skills,Fluxo de Caixa
Modules,Survey,Fluxo de Caixa
Modules,Resources,Fluxo de Caixa
Introduction,Story,Princípios Básicos de Finanças
Modules,Bussiness Concept,Princípios Básicos de Finanças
Modules,Technology Skills,Princípios Básicos de Finanças
Modules,Survey,Princípios Básicos de Finanças
Modules,Resources,Princípios Básicos de Finanças
Introduction,Story,Lucros e Prejuízos
Modules,Bussiness Concept,Lucros e Prejuízos
Modules,Technology Skills,Lucros e Prejuízos
Modules,Survey,Lucros e Prejuízos
Modules,Resources,Lucros e Prejuízos
Introduction,Story,Obtenção de Financiamento
Modules,Bussiness Concept,Obtenção de Financiamento
Modules,Technology Skills,Obtenção de Financiamento
Modules,Survey,Obtenção de Financiamento
Modules,Resources,Obtenção de Financiamento
Introduction,Story,Previsão de Vendas
Modules,Bussiness Concept,Previsão de Vendas
Modules,Technology Skills,Previsão de Vendas
Modules,Survey,Previsão de Vendas
Modules,Resources,Previsão de Vendas
Introduction,Story,Seu Público-alvo
Modules,Bussiness Concept,Seu Público-alvo
Modules,Technology Skills,Seu Público-alvo
Modules,Survey,Seu Público-alvo
Modules,Resources,Seu Público-alvo
Introduction,Story,Vendas On-line
Modules,Bussiness Concept,Vendas On-line
Modules,Technology Skills,Vendas On-line
Modules,Survey,Vendas On-line
Modules,Resources,Vendas On-line
Introduction,Story,Sites de Negócios Eficazes
Modules,Bussiness Concept,Sites de Negócios Eficazes
Modules,Technology Skills,Sites de Negócios Eficazes
Modules,Survey,Sites de Negócios Eficazes
Modules,Resources,Sites de Negócios Eficazes
Introduction,Story,Gestão de Relacionamento com Clientes (CRM)
Modules,Bussiness Concept,Gestão de Relacionamento com Clientes (CRM)
Modules,Technology Skills,Gestão de Relacionamento com Clientes (CRM)
Modules,Survey,Gestão de Relacionamento com Clientes (CRM)
Modules,Resources,Gestão de Relacionamento com Clientes (CRM)
Introduction,Story,A Arte das Vendas: Fundamentos de Venda
Modules,Bussiness Concept,A Arte das Vendas: Fundamentos de Venda
Modules,Technology Skills,A Arte das Vendas: Fundamentos de Venda
Modules,Survey,A Arte das Vendas: Fundamentos de Venda
Modules,Resources,A Arte das Vendas: Fundamentos de Venda
Introduction,Story,Definição de Preços
Modules,Bussiness Concept,Definição de Preços
Modules,Technology Skills,Definição de Preços
Modules,Survey,Definição de Preços
Modules,Resources,Definição de Preços
Introduction,Story,Benefícios de Marketing versus Características
Modules,Bussiness Concept,Benefícios de Marketing versus Características
Modules,Technology Skills,Benefícios de Marketing versus Características
Modules,Survey,Benefícios de Marketing versus Características
Modules,Resources,Benefícios de Marketing versus Características
Introduction,Story,Marketing em Mídias Sociais
Modules,Bussiness Concept,Marketing em Mídias Sociais
Modules,Technology Skills,Marketing em Mídias Sociais
Modules,Survey,Marketing em Mídias Sociais
Modules,Resources,Marketing em Mídias Sociais
Introduction,Story,Proposta de Valor Exclusivo
Modules,Bussiness Concept,Proposta de Valor Exclusivo
Modules,Technology Skills,Proposta de Valor Exclusivo
Modules,Survey,Proposta de Valor Exclusivo
Modules,Resources,Proposta de Valor Exclusivo
Introduction,Story,Contratação de Pessoal
Modules,Bussiness Concept,Contratação de Pessoal
Modules,Technology Skills,Contratação de Pessoal
Modules,Survey,Contratação de Pessoal
Modules,Resources,Contratação de Pessoal
Introduction,Story,Eficiência Energética: Fazer Mais por Menos
Modules,Bussiness Concept,Eficiência Energética: Fazer Mais por Menos
Modules,Technology Skills,Eficiência Energética: Fazer Mais por Menos
Modules,Survey,Eficiência Energética: Fazer Mais por Menos
Modules,Resources,Eficiência Energética: Fazer Mais por Menos
Introduction,Story,TI para o Sucesso nos Negócios
Modules,Bussiness Concept,TI para o Sucesso nos Negócios
Modules,Technology Skills,TI para o Sucesso nos Negócios
Modules,Survey,TI para o Sucesso nos Negócios
Modules,Resources,TI para o Sucesso nos Negócios
Introduction,Story,Gestão de Estoque
Modules,Bussiness Concept,Gestão de Estoque
Modules,Technology Skills,Gestão de Estoque
Modules,Survey,Gestão de Estoque
Modules,Resources,Gestão de Estoque
Introduction,Story,Maximização da Capacidade
Modules,Bussiness Concept,Maximização da Capacidade
Modules,Technology Skills,Maximização da Capacidade
Modules,Survey,Maximização da Capacidade
Modules,Resources,Maximização da Capacidade
Introduction,Story,Gerenciando Informações de Contato
Modules,Bussiness Concept,Gerenciando Informações de Contato
Modules,Technology Skills,Gerenciando Informações de Contato
Modules,Survey,Gerenciando Informações de Contato
Modules,Resources,Gerenciando Informações de Contato
